buku	bab	bab_romawi	teks	pasal_awal	pasal_akhir
1	1	I	RUANG LINGKUP BERLAKUNYA KETENTUAN PERATURAN PERUNDANGUNDANGAN PIDANA	1	11
1	2	II	TINDAK PIDANA DAN PERTANGGUNGJAWABAN PIDANA	12	50
1	3	III	PEMIDANAAN, PIDANA, DAN TINDAKAN	51	131
1	4	IV	GUGURNYA KEWENANGAN PENUNTUTAN DAN PELAKSANAAN PIDANA	132	143
1	5	V	PENGERTIAN ISTILAH	144	186
1	6	VI	ATURAN PENUTUP	187	187
2	1	I	TINDAK PIDANA TERHADAP KEAMANAN NEGARA	188	216
2	2	II	TINDAK PIDANA DAN PERTANGGUNGJAWABAN PIDANA	217	220
2	3	III	PEMIDANAAN, PIDANA, DAN TINDAKAN	221	231
2	4	IV	GUGURNYA KEWENANGAN PENUNTUTAN DAN PELAKSANAAN PIDANA	232	233
2	5	V	TINDAK PIDANA TERHADAP KETERTIBAN UMUM	234	277
2	6	VI	TINDAK PIDANA TERHADAP PROSES PERADILAN	278	299
2	7	VII	TINDAK PIDANA TERHADAP AGAMA, KEPERCAYAAN, DAN KEHIDUPAN BERAGAMA ATAU KEPERCAYAAN	300	305
2	8	VIII	TINDAK PIDANA YANG MEMBAHAYAKAN KEAMANAN UMUM BAGI ORANG, KESEHATAN, DAN BARANG	306	346
2	9	IX	TINDAK PIDANA TERHADAP KEKUASAAN PEMERINTAHAN	347	372
2	10	X	TINDAK PIDANA KETERANGAN PALSU DI ATAS SUMPAH	373	373
2	11	XI	TINDAK PIDANA PEMALSUAN MATA UANG DAN UANG KERTAS	374	381
2	12	XII	TINDAK PIDANA PEMALSUAN METERAI, CAP NEGARA, DAN TERA NEGARA	382	390
2	13	XIII	TINDAK PIDANA PEMALSUAN SURAT	391	400
2	14	XIV	TINDAK PIDANA TERHADAP ASAL-USUL DAN PERKAWINAN	401	405
2	15	XV	TINDAK PIDANA KESUSILAAN	406	427
2	16	XVI	TINDAK PIDANA PENELANTARAN ORANG	428	432
2	17	XVII	TINDAK PIDANA PENGHINAAN	433	442
2	18	XVIII	TINDAK PIDANA PEMBUKAAN RAHASIA	443	445
2	19	XIX	TINDAK PIDANA TERHADAP KEMERDEKAAN ORANG	446	456
2	20	XX	PENYELUNDUPAN MANUSIA	457	457
2	21	XXI	TINDAK PIDANA TERHADAP NYAWA DAN JANIN	458	465
2	22	XXII	TINDAK PIDANA TERHADAP TUBUH	466	473
2	23	XXIII	TINDAK PIDANA YANG MENGAKIBATKAN MATI ATAU LUKA KARENA KEALPAAN	474	475
2	24	XXIV	TINDAK PIDANA PENCURIAN	476	481
2	25	XXV	TINDAK PIDANA PEMERASAN DAN PENGANCAMAN	482	485
2	26	XXVI	TINDAK PIDANA PENGGELAPAN	486	491
2	27	XXVII	TINDAK PIDANA PERBUATAN CURANG	492	510
2	28	XXVIII	TINDAK PIDANA TERHADAP KEPERCAYAAN DALAM MENJALANKAN USAHA	511	520
2	29	XXIX	TINDAK PIDANA PERUSAKAN DAN PENGHANCURAN BARANG DAN BANGUNAN GEDUNG	521	526
2	30	XXX	TINDAK PIDANA JABATAN	527	541
2	31	XXXI	TINDAK PIDANA PELAYARAN	542	574
2	32	XXXII	TINDAK PIDANA PENERBANGAN DAN TINDAK PIDANA TERHADAP SARANA SERTA PRASARANA PENERBANGAN	575	590
2	33	XXXIII	TINDAK PIDANA PENADAHAN, PENERBITAN, DAN PENCETAKAN	591	596
2	34	XXXIV	TINDAK PIDANA BERDASARKAN HUKUM YANG HIDUP DALAM MASYARAKAT	597	597
2	35	XXXV	TINDAK PIDANA KHUSUS	598	612
2	36	XXXVI	KETENTUAN PERALIHAN	613	620
2	37	XXXVII	KETENTUAN PENUTUP	621	624
